Student_ID,Question_1,Question_2,Question_3,Question_4,Question_5,Question_6,Question_7,Question_8,Question_9,Question_10,Question_11,Question_12,Question_13,Question_14,Question_15,Question_16
407,A,K,K,V,K,R,R,K,K,R,R,K,R,V,K,K
408,R,V,K,A,A,K,R,V,A,K,K,A,A,R,R,V
409,V,R,K,A,K,R,V,V,V,V,V,R,K,A,A,V
410,R,V,V,V,R,K,R,K,R,R,V,A,A,A,K,R
411,R,K,V,V,A,V,V,R,K,R,R,V,V,K,K,R
412,V,R,V,V,R,V,K,A,A,V,R,A,R,A,V,A
413,A,A,R,R,A,A,R,A,R,V,V,R,V,K,K,A
414,V,R,V,R,K,K,V,K,A,R,R,A,K,K,R,R
415,R,K,K,V,R,A,V,R,A,K,A,K,V,A,V,A
416,R,V,V,A,V,A,A,A,R,R,K,V,V,R,A,V
417,K,K,R,K,R,R,V,K,A,K,V,K,K,R,R,K
418,K,K,A,V,R,R,V,A,R,V,R,V,K,R,A,R
419,A,V,K,V,K,R,R,A,K,R,A,A,K,A,A,R
420,R,R,R,A,A,K,V,A,A,A,K,R,V,V,R,A
421,V,A,R,A,V,A,R,K,R,V,R,V,V,K,K,A
422,A,V,R,R,K,R,A,R,A,V,K,V,R,V,A,A
423,K,K,K,A,A,A,R,A,K,R,K,V,R,A,R,R
424,A,K,K,R,K,V,R,A,K,V,K,A,A,A,A,V
425,A,R,V,K,R,K,R,A,V,K,K,K,R,A,V,A
426,A,R,R,K,K,K,A,A,K,A,V,V,V,R,R,K
427,R,A,V,A,R,V,A,V,R,V,R,V,K,A,A,A
428,K,V,R,V,V,R,A,R,R,A,K,K,R,A,A,V
429,R,V,K,R,A,R,R,V,V,R,R,R,A,R,A,K
430,R,V,R,V,K,A,V,K,V,V,R,A,A,R,R,R
431,R,A,A,V,K,V,R,A,V,R,R,K,K,R,V,R
432,K,R,A,R,A,R,A,A,V,R,R,A,V,K,R,V
433,K,R,K,R,A,K,K,R,R,R,V,K,K,A,R,K
434,K,A,A,R,V,K,K,A,K,K,R,K,K,V,K,A
435,A,K,R,V,A,V,V,K,K,K,R,V,V,V,R,R
436,K,R,A,R,V,A,V,A,V,V,A,K,V,K,V,R
437,V,V,A,A,R,K,A,A,A,K,V,V,V,R,R,K
438,A,A,V,V,A,A,V,V,A,K,A,V,R,V,R,A
439,A,K,R,A,A,V,A,A,K,R,R,R,V,R,A,R
440,R,A,A,A,V,V,K,K,K,K,R,K,V,V,V,V
441,R,R,A,V,K,K,V,V,A,V,R,K,A,A,V,A
442,V,A,R,A,R,V,A,V,K,V,K,K,R,R,R,V
443,V,A,R,V,V,V,R,K,R,R,A,A,R,V,R,K
444,K,K,A,A,R,K,V,A,R,K,V,R,K,A,V,V
445,A,R,R,R,V,R,K,R,A,R,R,A,V,A,K,A
446,A,A,V,A,R,K,V,K,R,K,A,R,K,R,K,V
447,K,K,K,R,R,V,K,R,V,K,A,K,A,V,A,K
448,A,A,K,K,A,A,R,K,A,V,V,R,V,K,A,K
449,V,V,V,V,V,K,K,V,K,R,K,R,R,A,A,K
450,R,V,K,V,V,V,A,K,R,R,R,V,A,K,V,K
451,K,R,A,V,K,K,K,K,A,A,V,R,A,K,K,A
452,V,A,K,V,K,A,A,R,V,A,R,K,A,R,K,V
453,A,A,V,R,K,A,V,A,A,A,A,R,V,A,R,R
454,R,K,R,R,R,R,K,R,A,R,R,K,K,V,V,V
455,A,R,V,A,V,A,A,A,K,K,V,K,K,K,A,V
456,K,V,R,K,A,K,V,A,R,R,A,V,K,A,V,R
457,A,A,V,A,V,R,K,V,A,A,K,V,A,V,R,V
458,K,K,V,R,K,K,V,R,A,R,R,K,A,K,K,A
459,V,A,V,A,V,R,R,R,A,R,R,K,A,K,A,K
460,V,K,R,A,V,V,V,A,V,A,A,K,V,A,V,V
461,V,R,V,A,A,R,A,R,K,R,V,A,A,R,A,A
462,A,R,K,R,V,R,A,V,A,V,R,V,V,R,V,A
463,V,V,A,K,A,V,K,A,K,K,V,K,K,A,K,K
464,R,K,R,V,K,R,V,R,A,R,R,K,R,R,A,A
465,K,V,R,R,V,V,V,A,A,R,A,K,K,A,A,V
466,A,A,V,A,K,K,K,A,K,R,A,A,V,K,A,K
467,V,V,V,R,V,A,K,K,R,K,A,A,A,K,K,R
468,A,A,R,V,V,A,K,V,V,V,A,V,V,R,K,A
469,K,K,K,V,A,K,V,K,V,K,V,R,V,A,K,A
470,K,A,A,V,A,V,K,V,V,R,A,R,K,K,V,A
471,A,V,V,V,R,V,R,A,R,A,A,R,R,R,V,A
472,R,V,R,A,R,R,A,V,V,R,K,K,V,V,R,K
473,A,A,V,V,K,K,A,K,R,R,A,K,K,K,R,R
474,V,A,K,K,V,A,V,V,K,V,V,A,A,V,A,R
475,R,R,A,R,V,R,K,V,K,R,A,K,R,A,A,K
476,R,K,V,K,V,A,K,R,R,R,K,R,A,K,V,K
477,K,A,K,V,A,K,V,V,K,R,V,R,V,R,A,V
478,V,A,V,V,A,R,A,V,K,A,V,R,R,V,R,V
479,A,R,V,V,V,K,K,K,K,R,A,R,R,K,R,R
480,R,K,V,V,V,R,V,A,A,V,K,K,V,V,K,V
481,K,R,K,R,R,R,V,R,R,R,K,K,R,K,V,V
482,R,A,A,V,V,K,V,V,K,V,A,V,R,V,V,R
483,A,V,K,V,A,A,V,A,K,V,K,R,K,K,R,R
484,A,V,K,V,V,R,A,R,K,A,R,A,K,A,R,R
485,A,V,V,R,A,K,R,V,R,A,R,R,A,A,A,A
486,V,R,V,R,R,R,V,K,A,A,R,R,K,R,R,V
487,K,V,V,A,V,A,K,R,K,R,K,R,K,R,V,V
488,A,K,K,R,V,V,K,R,K,A,K,V,V,R,R,V
489,V,K,V,A,K,R,R,K,R,V,K,R,V,R,K,A
490,V,R,V,V,R,R,V,R,A,K,R,A,K,A,A,K
491,K,V,R,V,R,K,V,R,K,K,R,R,K,K,A,A
492,A,A,K,R,K,R,K,A,K,R,K,V,A,V,R,V
493,R,V,A,K,A,V,V,K,V,V,A,A,V,V,K,A
494,V,A,R,R,A,A,V,R,V,K,K,V,K,K,V,A
495,V,A,V,K,A,A,V,R,K,R,A,A,V,R,K,V
496,K,V,A,V,K,V,V,A,K,A,R,A,R,R,V,V
497,V,A,R,R,A,A,A,R,A,A,R,R,V,K,A,A
498,V,K,V,V,V,R,V,K,A,R,R,A,R,K,R,A
499,A,R,R,A,K,K,A,A,K,A,A,R,A,K,A,R
500,K,K,K,A,V,V,R,R,K,A,V,R,R,V,V,R
